filename	id_v1	event_date1	id_v2	event_date2	id_v3	event_date3	id_v4	event_date4	id_v5	event_date5	id_v6	event_date6
NY01075765_lg.jpg	102	Feb 1898	104	Feb. 1898	105	february 1898	107	February 1898	41	Feb 1898	52	Feb 1898
NY01075766_lg.jpg	104	Nov. 5, 1976	105	5 november 1976	107	5 November 1976	110	5 November 1976	41	5 November 1976	52	5 November 1976
NY01075768_lg.jpg	104	May 6, 1999	105	6 may 1999	107	6 May 1999	110	6 May 1999	41	6 May 1999	52	6 May 1999
NY01075775_lg.jpg	102	10 May 1991	103	10 May 1991	104	May 10, 1991	105	10 may 1991	41	10 May 1991	52	10 May 1991
NY01075790_lg.jpg	104	Marach 16, 1979	105	march 16 1979	107	March 16, 1979	108	MARCH 16 1979	41	March 16, 1979	52	March 16, 1979
NY01075792_lg.jpg	104	May 29, 1976	105	29 may 1976	107	29 May 1976	108	29 MAY 1976	41	29 May 1976	52	29 May 1976
NY01075806_lg.jpg	104	Sept. 4, 1960	105	4 sep 1960	107	4 September 1960	115	September 4, 1960	41	4 Sep 1960	52	4 Sep 1960
NY01075818_lg.jpg	104	Dec. 3, 1994	105	3 december 1994	107	3 December 1994	108	3 DECEMBER 1994	41	3 December 1994	52	3 December 1994
NY01075822_lg.jpg	104	Dec. 1, 1994	105	1 december 1994	107	1 December 1994	110	1 December 1994	41	1 December 1994	52	1 December 1994
NY01075827_lg.jpg	104	Dec. 17, 1988	105	17 december 1988	107	17 December 1988	108	17.12.1988	41	17 December 1988	52	17 December 1988
NY01075831_lg.jpg	104	Dec. 5, 1994	105	5 december 1994	107	5 December 1994	116	5 December 1994	41	5 December 1994	52	5 December 1994
NY01075837_lg.jpg	104	Dec. 1, 1988	105	1 december 1988	107	1 December 1988	112	12/1/1988	41	1 December 1988	52	1 December 1988
TENN-L-0000013_lg.jpg	104	July 18, 1969	105	july 18, 1969	107	July 18 1969	109	July 18, 1969	41	July 18, 1969	52	July 18, 1969
TENN-L-0000019_lg.jpg	104	Aug. 8, 1954	107	8 August 1954	110	8 Aug 1954	113	8 Aug 1954	41	8 Aug 1954	52	8 Aug 1954
TENN-L-0000028_lg.jpg	104	Auf. 1, 1957	105	Aug 1, 1957	107	August 1, 1957	110	Aug 1 1957	41	Aug. 1, 1957	52	Aug. 1, 1957
TENN-L-0000035_lg.jpg	101	10/30/1965	104	Oct. 30, 1965	105	oct 30 1965	107	October 30, 1965	41	Oct. 30, 1965	52	Oct. 30, 1965
TENN-L-0000047_lg.jpg	102	24 July 1967	104	July 24, 1967	105	24 july 1967	107	24 July 1967	41	24 July 1967	52	24 July 1967
TENN-L-0000057_lg.jpg	104	Sept. 19, 1941	105	September 19 1941	107	September 19, 1941	110	September 19 1941	41	September 19, 1941	52	September 19, 1941
TENN-L-0000058_lg.jpg	101	1871	104	1871	104	1871	105	1871	41	1871	52	1871
TENN-L-0000061_lg.jpg	104	1959	104		105	1959	108	1959	41	1959	52	1959
TENN-L-0000063_lg.jpg	105		107		110		117		41		52	
TENN-L-0000072_lg.jpg	104	Sept. 20, 1935	105	sept 20 1935	107	September 20 1935	111	September 20, 1935	41	Sept. 20, 1935	52	Sept. 20, 1935
TENN-L-0000084_lg.jpg	104	April 13, 1963	105	13 april 1963	106	13 April 1963	107	13 April 1963	41	13 April 1963	52	13 April 1963
TENN-L-0000089_lg.jpg	104	July 25, 1936	105	july 25, 1936	107	July 25, 1936	113	July 25, 1936	41	July 25, 1936	52	July 25, 1936
WIS-L-0011734_lg.jpg	104	July 1982	105	july 1982	107	July 1982	108	JULY 1982	41	July 1982	52	July 1982
WIS-L-0012025_lg.jpg	102	22 Jul 1988	104	July 22, 1988	105	22 jul 1988	107	22 July 1988	41	22 Jul 1988	52	22 Jul 1988
WIS-L-0012041_lg.jpg	101	07/19/2003	104	July 19, 2003	105	19 july 2003	107	19 July 2003	41	19 July 2003	52	November 2003
WIS-L-0012052_lg.jpg	103	19 July 2003	104	July 19, 2003	105	19 July 2003	107	19 July 2003	41	19 July 2003	52	19 July 2003
WIS-L-0012056_lg.jpg	101	07/19/2003	104	July 19, 2003	105	19 july 2003	107	19 July 2003	41	19 July 2003	52	19 July 2003
WIS-L-0012062_lg.jpg	104	Oct. 1981	105	october 1981	107	October 1981	117	October 1981	41	October 1981	52	October 1981
WIS-L-0012070_lg.jpg	101	07/14/1995	103	14 July 1995	104	July 14, 1995	105	14 July 1995	41	14 July 1995	52	14 July 1995
WIS-L-0012071_lg.jpg	104	July 26, 1989	105	26 july 1989	107	26 July 1989	112	7/26/1989	41	26 July 1989	52	26 July 1989
WIS-L-0012077_lg.jpg	104	Aug. 1987	105	August 1987	107	August 1987	110	August 1987	41	August, 1987	80	August, 1987
