filename	verbatimScientificName
EMEC609488_Cerceris_compacta.jpg	Cerceris compacta Cr.
EMEC609504_Cerceris_compacta.jpg	Cerceris compacta Cr.
EMEC609515_Cerceris_compacta.jpg	Cerceris compacta compacta Cr.
EMEC609523_Cerceris_compacta.jpg	Cerceris compacta compacta Cr.
EMEC609529_Cerceris_compacta.jpg	Cerceris compacta compacta Cr.
EMEC609543_Cerceris_compacta.jpg	Cerceris aureofacialis
EMEC609600_Cerceris_compacta.jpg	
EMEC609601_Cerceris_compacta.jpg	
EMEC609612_Cerceris_compacta.jpg	
EMEC609623_Cerceris_compacta.jpg	
EMEC609639_Cerceris_compar_compar.jpg	Cerceris compar Cr
EMEC609675_Cerceris_conifrons.jpg	Cerceris conifrons Mick.
EMEC609686_Cerceris_conifrons.jpg	
EMEC609696_Cerceris_conifrons.jpg	Cerceris conifrons Mick.
EMEC609705_Cerceris_conifrons.jpg	Cerceris conifrons Mickel Paraeyella filifolia Torr.&Gray
EMEC609711_Cerceris_convergens.jpg	Cerceris chilopsidis V. & C.
EMEC609719_Cerceris_convergens.jpg	Cerceris convergens V. & C.
EMEC609722_Cerceris_convergens.jpg	Cerceris convergens V. & C.
EMEC609740_Cerceris_convergens.jpg	Cerceris convergens Viereck & CKll
EMEC609764_Cerceris_convergens.jpg	Cerceris convergens V.& C.
EMEC609785_Cerceris_convergens.jpg	Cerceris convergens V.& C.
EMEC609803_Cerceris_convergens.jpg	Cerceris convergens V.& C.
EMEC609826_Cerceris_convergens.jpg	Cerceris convergens V.& C.
EMEC609828_Cerceris_convergens.jpg	Cerceris convergens V.& C.
EMEC609879_Cerceris_convergens.jpg	Cerceris convergens V.& C.
EMEC609880_Cerceris_convergens.jpg	
EMEC609882_Cerceris_convergens.jpg	
EMEC609885_Cerceris_convergens.jpg	
EMEC609900_Stigmus_sp.jpg	
EMEC609903_Stigmus_sp.jpg	
EMEC609926_Stigmus_sp.jpg	
EMEC609939_Stigmus_sp.jpg	
EMEC609987_Aphilanthops_foxi.jpg	
EMEC609997_Aphilanthops_foxi.jpg	
NY_00020326.jpg	Forestiera eggersiana Krug & Urb.
NY_00040685.jpg	Jasminum fluminense Vell.
NY_00040919.jpg	Manilkara bidentata (A.L. Candolle) Chevalier
NY_00198945.jpg	Gastonia cutispongia Lam.
NY_00198993.jpg	Nothopanax tricochleatum Miq. Polyscias obtusa Harms
NY_00413475.jpg	Jasminium fluminense Vell.
NY_00413589.jpg	Myriophyllum aquaticum (Vell.) Verdc.
NY_00499439.jpg	Cymbalaria Cymbalaria (L.) Wettst
NY_00617450.jpg	Daucus carota L. subsp. carota Daucus Carota L.
NY_00641566.jpg	Bambusa tuldoides Munro
NY_00754868.jpg	Bambusa multiplex (Loureiro) Raeuschel
NY_00754872.jpg	Bambusa vulgaris Schrad.
NY_00819601.jpg	Ludwigia peploides (HBK.) Raven subsp. peploides J. repens L. var. peploides (HBK) Griseb. Jussiaea diffusa Forssk Ludwigia sect. Oligospermum
NY_01334326.jpg	floridana Gand. B. e. obtusa Pennell Buchnera elongata Sw.
NY_01334334.jpg	Buchnera longifolia Kunth
NY_01334374.jpg	Capraria biflora L. Capraria biflora L.
NY_01334391.jpg	Capraria biflora L. Capraria biflora L
NY_01334433.jpg	Capraria biflora L. C. b. f. hirta Loes Capraria biflora L.
NY_01334438.jpg	Capraria biflora L. Capraria biflora L.
NY_01334464.jpg	Capraria biflora L. Capraria biflora, L.
NY_01334493.jpg	Linosella subulata Ives.
NY_01334508.jpg	Lindernia crustacea (L.) F.v. Muell. Lindernia crustacea (L.) F. Muell.
NY_01497987.jpg	Linociera domingensis (Lam.) Knobl.
NY_01498039.jpg	Olea europea L.
NY_01498043.jpg	Olea europaea L.
NY_01498065.jpg	Cynoctonum mitreola (L.) Britt.
NY_01498090.jpg	Mitreola petiolata (J. F. Gmel.) T. & G.
NY_01498103.jpg	Mitreola petiolata (J.F. Gmel.) Torr. & Gray Cynoctonum mitreola (L.) Britton
NY_01498113.jpg	Mitreola petiolata (J.F. Gmel.) Torr. & Gray Cynoctonum mitreola (L.)Britt. Mitreola petiolata Torr et Gr. Meitreola petiolata Torr. Gray
NY_01498139.jpg	Polypremum procumbens L.
NY_01498155.jpg	Spigelia anthelmia L. Spigelia anthelmia L.
NY_01498166.jpg	Spigelia anthelmia L. Spigelia anthelmia L.
NY_01498191.jpg	Spigelia anthelmia L. Spigelia anthelmia L.
NY01075765_lg.jpg	Pyrenocollema atlanticum (Vainio) R. C. Harris
NY01075766_lg.jpg	Arthopyrenia halodytes (Nyl.) Arnold
NY01075768_lg.jpg	Pyrenocollema halodytes (Nyl.) R. C. Harris
NY01075775_lg.jpg	PYRENOCOLLEMA TICHOTHECIOIDES (Arn.) Harris
NY01075790_lg.jpg	Arthopyrenia cinchonae (Ach.) Müll.Arg.
NY01075792_lg.jpg	Arthopyrenia cinchonae (Ach.) Müll. Arg.
NY01075806_lg.jpg	Arthopyrenia cinchonae (Ach.) Müll. Arg.
NY01075818_lg.jpg	Arthopyrenia cinchonae (Ach.) Müll. Arg.
NY01075822_lg.jpg	Arthopyrenia cinchonae (Ach.) Müll. Arg.
NY01075827_lg.jpg	Ciferriolichen cinchonae (Ach.)
NY01075831_lg.jpg	Arthopyrenia cinchonae (Ach.) Müll. Arg.
NY01075837_lg.jpg	Ciferriolichen cinchonae (Ach.)
TENN-L-0000013_lg.jpg	Acroscyphus sphaerophoroides Lév.
TENN-L-0000019_lg.jpg	Actinogyra
TENN-L-0000028_lg.jpg	Actinogyra mühlenbergii (Ach.) Schol.
TENN-L-0000035_lg.jpg	Actinogyra muhlenbergii (Ach.) Schol.
TENN-L-0000047_lg.jpg	Alectoria
TENN-L-0000057_lg.jpg	Alectoria Fremontii Tuck.
TENN-L-0000058_lg.jpg	Alectoria Fremontii Tuck.
TENN-L-0000061_lg.jpg	Alectoria jubata (L.) Ach.
TENN-L-0000063_lg.jpg	Alectoria jubata Ach. var. chalybeiformis Ach. Syn. of Alectoria chalybeiformis Roehling
TENN-L-0000072_lg.jpg	Alectoria jubata implexa (Hoffm.) Ach.
TENN-L-0000084_lg.jpg	Alectoria nidulifera Alectoria nadvornikiana Gyel.
TENN-L-0000089_lg.jpg	Alectoria nigricans (Ach.) Nyl
WIS-L-0011734_lg.jpg	Cetraria laevigatum Rass
WIS-L-0012025_lg.jpg	Cetraria islandica (L) Ach.
WIS-L-0012041_lg.jpg	Cetraria laevigata Rass.
WIS-L-0012052_lg.jpg	Cetraria laevigata Rass.
WIS-L-0012056_lg.jpg	Cetraria laevigata Rass.
WIS-L-0012062_lg.jpg	Coelocaulon muricatum (Ach.) Laundi
WIS-L-0012070_lg.jpg	Cetrelia centrarioides (Del. ex Duby) Culb & Culb
WIS-L-0012071_lg.jpg	Cetrelia cetrarioides (Delise ex Duby) Culb & C. Culb
WIS-L-0012077_lg.jpg	
