filename	id_v1	sec1	id_v2	sec2	id_v3	sec3
NY_00020326.jpg	37	61	75	52	80	60
NY_00040685.jpg	37	28	75	51		
NY_00040919.jpg	37	12	75	24		
NY_00198945.jpg	37	15	75	37	80	51
NY_00198993.jpg	37	8	75	15	80	21
NY_00413475.jpg	75	27	80	29		
NY_00413589.jpg	37	11	75	15		
NY_00499439.jpg	37	37	75	24	80	61
NY_00617450.jpg	37	10	75	65	80	66
NY_00641566.jpg	37	14	75	17	80	59
NY_00754868.jpg	37	12	75	20	80	30
NY_00754872.jpg	37	63	75	57	80	79
NY_00819601.jpg	37	10	75	15	80	44
NY_01334326.jpg	37	93	75	38	80	64
NY_01334334.jpg	37	10	75	10		
NY_01334374.jpg	75	24	80	26		
NY_01334391.jpg	37	10	75	22	80	54
NY_01334433.jpg	37	11	75	10	80	67
NY_01334438.jpg	37	15	75	17		
NY_01334464.jpg	37	13	75	21	80	55
NY_01334493.jpg	37	10	75	14		
NY_01334508.jpg	37	22	75	26		
NY_01497987.jpg	37	10	75	16	80	15
NY_01498039.jpg	37	9	75	12		
NY_01498043.jpg	37	9	75	19		
NY_01498065.jpg	75	28	80	98		
NY_01498090.jpg	75	22	80	27		
NY_01498103.jpg	37	10	75	25	80	89
NY_01498113.jpg	37	9	75	18	80	22
NY_01498139.jpg	37	6	75	8	80	41
NY_01498155.jpg	37	15	75	19		
NY_01498166.jpg	37	101	75	35		
NY_01498191.jpg	37	16	75	21		

