filename	id_v1	event_date1	id_v2	event_date2	id_v3	event_date3
EMEC609488_Cerceris_compacta.txt	104	1951-07-11	105	1951-07-11	107	1951-07-11
EMEC609504_Cerceris_compacta.txt	104	1951-07-11	105	1951-07-11	107	1951-07-11
EMEC609515_Cerceris_compacta.txt	104	1932-07-17	105	1932-07-17	107	1932-07-17
EMEC609523_Cerceris_compacta.txt	102	1954-07-04	104	1954-07-04	105	1954-07-04
EMEC609529_Cerceris_compacta.txt	104	1953-06-28	105	1953-06-28	107	1953-06-28
EMEC609543_Cerceris_compacta.txt	104	1952-07-08	105	1952-07-08	105	1952-07-08
EMEC609600_Cerceris_compacta.txt	104	1978-09-04	105	1978-04-04	107	1978-09-04
EMEC609601_Cerceris_compacta.txt	104	1975-06-25	104	1975-06-25	105	1975-06-25
EMEC609612_Cerceris_compacta.txt	104	1951-07-18/22	104	1951-07-18/22	105	1951-07-18/22
EMEC609623_Cerceris_compacta.txt	104	1951-07-18	105	1951-07-22	107	1951-07-18/22
EMEC609639_Cerceris_compar_compar.txt	101	1934-07-01	104	1934-07-01	105	1934-07-01
EMEC609675_Cerceris_conifrons.txt	104	1950-08-06	105	1950-08-06	107	1950-08-06
EMEC609686_Cerceris_conifrons.txt	103	1977-08-26	104	1977-08-26	105	1977-08-26
EMEC609696_Cerceris_conifrons.txt	104	1951-08-10	105	1951-08-10	105	1951-08-10
EMEC609705_Cerceris_conifrons.txt	104	1966-06-28	105	1966-06-28	107	1966-06-28
EMEC609711_Cerceris_convergens.txt	104	1951-06-2/5	105	1951-05-02	107	1951-06-2/5
EMEC609719_Cerceris_convergens.txt	104	1925-01-00	105	1925-07	107	1925
EMEC609722_Cerceris_convergens.txt	104	1950-07-16	105	1950-07-16	107	1950-07-16
EMEC609740_Cerceris_convergens.txt	104	1952-04-26	107	1952-04-26	110	1952-04-26
EMEC609764_Cerceris_convergens.txt	104	1953-07-02	105	1953-07-02	107	1953-07-02
EMEC609785_Cerceris_convergens.txt	102	1961	104	1961	105	1959-08-08
EMEC609803_Cerceris_convergens.txt	104	1959-09-01	105	1959-09-01	107	1959-09-01
EMEC609826_Cerceris_convergens.txt	102	1957	103		104	1954-04-27
EMEC609828_Cerceris_convergens.txt	104	1956-05-03	107	1956-05-03	107	1956-05-03
EMEC609879_Cerceris_convergens.txt	104	1974-09-15	105	1974-09-15	107	1974-09-15
EMEC609880_Cerceris_convergens.txt	104	1978-09-04	105	1978-09-04	107	1978-09-04
EMEC609882_Cerceris_convergens.txt	103		104	1976-08-20	105	1976-08-20
EMEC609885_Cerceris_convergens.txt	104	1956-10-28	105	1956-10-28	107	1956-10-28
EMEC609900_Stigmus_sp.txt	101	1980-05-22	104	1980-05-22	105	1980-05-22
EMEC609903_Stigmus_sp.txt	104	1973-08-02	104	1973-08-02	105	1973-08-02
EMEC609926_Stigmus_sp.txt	104	1970-07-12	105	1970-07-12	106	1970
EMEC609939_Stigmus_sp.txt	104	1992-09-14	105	1992-09-14/16	107	1992-09-14/16
EMEC609987_Aphilanthops_foxi.txt	104	1952-06-29	105	1952-04-29	107	1952-04-29
EMEC609997_Aphilanthops_foxi.txt	104	1949-04-30	105	1949-04-30	107	1949-04-30
NY01075765_lg.txt	102	1898-02-00	104	1898-02-00	105	1898-02-00
NY01075766_lg.txt	104	1976-11-05	105	1976-11-05	107	1976-11-05
NY01075768_lg.txt	104	1999-05-06	105	1999-05-06	107	1999-05-06
NY01075775_lg.txt	102	1991-05-10	103	1991-05-10	104	1991-05-10
NY01075790_lg.txt	104	1979-03-16	105	1979-03-16	107	1979-03-16
NY01075792_lg.txt	104	1976-05-29	105	1976-05-29	107	1976-05-29
NY01075806_lg.txt	104	1960-09-04	105	1960-09-04	107	1960-09-04
NY01075818_lg.txt	104	1994-12-03	105	1994-12-03	107	1994-12-03
NY01075822_lg.txt	104	1994-12-01	105	1994-12-01	107	1994-12-01
NY01075827_lg.txt	104	1988-12-17	105	1988-12-17	107	1988-12-17
NY01075831_lg.txt	104	1994-12-05	105	1994-12-05	107	1994-12-05
NY01075837_lg.txt	104	1988-12-01	105	1988-12-01	107	1988-12-01
NY_00020326.txt	104	1994-10-28	104	1994-12-28	105	1994-10-28
NY_00040685.txt	104	1994-11-04	105	1994-11-04	107	1944-11-04
NY_00040919.txt	104	1992-08-24	105	1992-08-24	107	1992-08-24
NY_00198945.txt	104	1913-09-00	105	1913-09-00	107	1913-09-00
NY_00198993.txt	104	1931-03-12	105	1931-03-12	107	1931-03-12
NY_00413475.txt	101	1980-10-15	104	1980-10-15	105	1980-10-15
