filename	event_date1
EMEC609488_Cerceris_compacta.txt	July 11, 1951
EMEC609504_Cerceris_compacta.txt	July 11, 1951
EMEC609515_Cerceris_compacta.txt	July 17, 1932
EMEC609523_Cerceris_compacta.txt	VII.4.54
EMEC609529_Cerceris_compacta.txt	June 28, 1953
EMEC609543_Cerceris_compacta.txt	July 8, 1952
EMEC609600_Cerceris_compacta.txt	Sept. 4, 1978
EMEC609601_Cerceris_compacta.txt	June 25, 1975
EMEC609612_Cerceris_compacta.txt	July 18-22, 1951
EMEC609623_Cerceris_compacta.txt	July 18, 1951
EMEC609639_Cerceris_compar_compar.txt	07/01/1934
EMEC609675_Cerceris_conifrons.txt	Aug. 6, 1950
EMEC609686_Cerceris_conifrons.txt	26 August 1977
EMEC609696_Cerceris_conifrons.txt	Aug. 10, 1951
EMEC609705_Cerceris_conifrons.txt	June 28, 1966
EMEC609711_Cerceris_convergens.txt	June 2-5, 1951
EMEC609719_Cerceris_convergens.txt	Jan. 1925
EMEC609722_Cerceris_convergens.txt	July 16, 1950
EMEC609740_Cerceris_convergens.txt	Apr. 26, 1952
EMEC609764_Cerceris_convergens.txt	July 2, 1953
EMEC609785_Cerceris_convergens.txt	61
EMEC609803_Cerceris_convergens.txt	Sept. 1, 1959
EMEC609826_Cerceris_convergens.txt	57
EMEC609828_Cerceris_convergens.txt	May 3, 1956
EMEC609879_Cerceris_convergens.txt	Sept. 15, 1974
EMEC609880_Cerceris_convergens.txt	Sept. 4, 1978
EMEC609882_Cerceris_convergens.txt	
EMEC609885_Cerceris_convergens.txt	Oct. 28, 1956
EMEC609900_Stigmus_sp.txt	5-22-1980
EMEC609903_Stigmus_sp.txt	Aug. 2, 1973
EMEC609926_Stigmus_sp.txt	July 12, 1970
EMEC609939_Stigmus_sp.txt	Sept. 14, 1992
EMEC609987_Aphilanthops_foxi.txt	June 29, 1952
EMEC609997_Aphilanthops_foxi.txt	April 30, 1949
NY01075765_lg.txt	Feb 1898
NY01075766_lg.txt	Nov. 5, 1976
NY01075768_lg.txt	May 6, 1999
NY01075775_lg.txt	10 May 1991
NY01075790_lg.txt	Marach 16, 1979
NY01075792_lg.txt	May 29, 1976
NY01075806_lg.txt	Sept. 4, 1960
NY01075818_lg.txt	Dec. 3, 1994
NY01075822_lg.txt	Dec. 1, 1994
NY01075827_lg.txt	Dec. 17, 1988
NY01075831_lg.txt	Dec. 5, 1994
NY01075837_lg.txt	Dec. 1, 1988
NY_00020326.txt	Oct. 28, 1994
NY_00040685.txt	Nov. 4, 1994
NY_00040919.txt	Aug. 24, 1992
NY_00198945.txt	Sept. 1913
NY_00198993.txt	March 12, 1931
NY_00413475.txt	10/15/1980
NY_00413589.txt	10 March 1993
NY_00499439.txt	31 August 1905
NY_00617450.txt	sept 2 1946
NY_00641566.txt	Feb. 10, 1983
NY_00754868.txt	May 16, 200
NY_00754872.txt	10/3/79
NY_00819601.txt	March 13, 1913
NY_01334326.txt	Aug. 24, 1904
NY_01334334.txt	July 11, 1985
NY_01334374.txt	Jan. 12, 1962
NY_01334391.txt	May 20, 1955
NY_01334433.txt	1860
NY_01334438.txt	23 Ene 1985
NY_01334464.txt	February 1896
NY_01334493.txt	Jan. 20, 1975
NY_01334508.txt	April 20, 1964
NY_01497987.txt	Oct. 1934
NY_01498039.txt	May 7, 1938
NY_01498043.txt	Aug. 31-Sept. 20, 1905
NY_01498065.txt	Dec. 8, 1976
NY_01498090.txt	June 7, 1979
NY_01498103.txt	8 March 1916
NY_01498113.txt	1860-1864
NY_01498139.txt	
NY_01498155.txt	12/68
NY_01498166.txt	24 June 1991
NY_01498191.txt	June 6, 1977
TENN-L-0000013_lg.txt	July 18, 1969
TENN-L-0000019_lg.txt	Aug. 8, 1954
TENN-L-0000028_lg.txt	Auf. 1, 1957
TENN-L-0000035_lg.txt	10/30/1965
TENN-L-0000047_lg.txt	24 July 1967
TENN-L-0000057_lg.txt	Sept. 19, 1941
TENN-L-0000058_lg.txt	1871
TENN-L-0000061_lg.txt	1959
TENN-L-0000063_lg.txt	
TENN-L-0000072_lg.txt	Sept. 20, 1935
TENN-L-0000084_lg.txt	April 13, 1963
TENN-L-0000089_lg.txt	July 25, 1936
WIS-L-0011734_lg.txt	July 1982
WIS-L-0012025_lg.txt	22 Jul 1988
WIS-L-0012041_lg.txt	07/19/2003
WIS-L-0012052_lg.txt	19 July 2003
WIS-L-0012056_lg.txt	07/19/2003
WIS-L-0012062_lg.txt	Oct. 1981
WIS-L-0012070_lg.txt	07/14/1995
WIS-L-0012071_lg.txt	July 26, 1989
WIS-L-0012077_lg.txt	Aug. 1987
