NY_01498103.txt	mitreola petiolata	mitreola petiolata
NY_01334464.txt	capraria biflora	capraria biflora
NY_01334391.txt	capraria biflora	capraria biflora
NY_01334374.txt	capraria biflora	capraria biflora
EMEC609828_Cerceris_convergens.txt	eriogonum inflatum	eriogonum inflatum
NY01075790_lg.txt	arthopyrenia cinchonae	arthopyrenia cinchonae
EMEC609882_Cerceris_convergens.txt	eriogonum fasciculatum	eriogonum fasciculatum
NY_01334433.txt	capraria biflora	capraria biflora
WIS-L-0011734_lg.txt	vaccinium uliginosum	vaccinium uliginosum
NY_01498090.txt	mitreola petiolata	mitreola petiolata
NY_01498166.txt	spigelia anthelmia	spigelia anthelmia
NY_01334508.txt	tindernia crustacea	lindernia crustacea
NY01075818_lg.txt	arthopyrenia cinchonae	arthopyrenia cinchonae
NY_00754872.txt	bambusa vulgaris	bambusa vulgaris
NY01075792_lg.txt	arthopyrenia cinchonae	arthopyrenia cinchonae
NY_00413589.txt	myriophyllum aquaticum	myriophyllum aquaticum
NY_00040919.txt	manilkara bidentata	manilkara bidentata
EMEC609705_Cerceris_conifrons.txt	parryella filifolia	parryella filifolia
NY01075806_lg.txt	arthopyrenia cinchonae	arthopyrenia cinchonae
WIS-L-0012077_lg.txt	eriophorum vaginatum	eriophorum vaginatum
NY01075831_lg.txt	arthopyrenia cinchonae	arthopyrenia cinchonae
NY_01498191.txt	spigelia anthelmia	spigelia anthelmia
NY01075822_lg.txt	arthopyrenia cinchonae	arthopyrenia cinchonae
