EMEC609601_Cerceris_compacta.txt	J.R. Powers	J. R. Powers	J. R. Powers
EMEC609675_Cerceris_conifrons.txt	J.W. MacSwain	J. W. MacSwain	J. W. MacSwain
EMEC609705_Cerceris_conifrons.txt	J.M. Davidson, M.A. Cazier	J. M. Davidson, M. A. Cazier	
EMEC609711_Cerceris_convergens.txt	P.D. Hurd	P. D. Hurd	
EMEC609722_Cerceris_convergens.txt	J.W. MacSwain	J. W. MacSwain	J. W. MacSwain
EMEC609785_Cerceris_convergens.txt		E. G. Linsley	
EMEC609885_Cerceris_convergens.txt	J.W. MacSwain	J. W. MacSwain	J. W. MacSwain
EMEC609903_Stigmus_sp.txt		S. Szerlip, R. Coville, J. Powell	
EMEC609926_Stigmus_sp.txt		E. Schlinger	
EMEC609939_Stigmus_sp.txt	W. Middlekauff	W. Middlekauff	W. Middlekauff
NY01075775_lg.txt	W.A. Weber	W. A. Weber	
NY01075790_lg.txt	Shirley C. Tucker	Shirley C. Tucker	Shirley c. Tucker
NY01075827_lg.txt	Richard C. Harris	Richard C. Harris	Richard C. Harris
NY_00040919.txt	James Higgins with Prosper Paris	James Higgins with Prosper Paris	
NY_00641566.txt	Thomas R. Soderstrom	Thomas R. Soderstrom	Thomas R. Soderstrom
NY_01334508.txt	Brother Alain Liogier	Brother Alain Liogier	
NY_01497987.txt		Bro. Leon	
NY_01498043.txt	Stewardson Brown, N.L. Britton	Stewardson Brown, N. L. Britton	
NY_01498155.txt	H.H. & G.W. Smith	H. H. & G. W. Smith	
WIS-L-0012070_lg.txt	Stephen S. Talbot	Stephen S. Talbot	Stephern S. Talbot
