filename	id_v1	event_date1	id_v2	event_date2	id_v3	event_date3	id_v4	event_date4	id_v5	event_date5	id_v6	event_date6
NY_00020326.jpg	104	Oct. 28, 1994	104	Dec. 28, 1994	105	28 oct 1994	107	28 October 1994	41	28 Oct 1994	52	28 Oct 1994
NY_00040685.jpg	104	Nov. 4, 1994	105	november 4, 1994	107	November 4. 1944	112	11/4/1994	41	November 4, 1994	52	November 4, 1994
NY_00040919.jpg	104	Aug. 24, 1992	105	August 24, 1992	107	August 24, 1992	110	August 24, 1992	41	August 24, 1992	52	August 24, 1992
NY_00198945.jpg	104	Sept. 1913	105	Sept 1913	107	September 1913	108	SEPT 1913	41	Sept., 1913	52	Sept., 1913
NY_00198993.jpg	104	March 12, 1931	105	12 March 1931	107	March 12, 1931	111	March 12, 1931	41	March 12, 1931	52	March 12, 1931
NY_00413475.jpg	101	10/15/1980	104	Oct. 15, 1980	105	october 15 1980	107	October 15, 1980	41	October 15, 1980	52	October 15, 1980
NY_00413589.jpg	102	10 March 1993	103	10 March 1993	104	March 10, 1993	105	10 march 1993	41	10 March 1993	52	10 March 1993
NY_00499439.jpg	103	31 August 1905	105	Aug31-sept 20 1905	107	August 31- September 20, 1905	110	Aug. 31-Sept. 20, 1905	41	Aug.31-Sept.20, 1905	52	Aug. 31-Sept. 20, 1905
NY_00617450.jpg	105	sept 2 1946	107	September 2, 1946	108	SEPT 2, 1946	112	9/2/1946	41	Sept. 2, 1946	52	Sept. 2, 1946
NY_00641566.jpg	104	Feb. 10, 1983	105	10 february 1983	107	10 February 1983	113	10 February 1983	41	10 February 1983	52	10 February 1983
NY_00754868.jpg	104	May 16, 200	105	16 may 2000	105	16 may 2000	107	16 May 2000	41	16 May 2000	52	16 May 2000
NY_00754872.jpg	105	10/3/79	107	10/3/79	108	10/3/1979	110	10/3/79	41	10/3/79	52	10/3/79
NY_00819601.jpg	104	March 13, 1913	105	13 march 1913	107	March 13, 1913	118	13-III-1913	41	March 13, 1913	52	March 13, 1913
NY_01334326.jpg	104	Aug. 24, 1904	105	Aug 24 1904	107	August 24 1904	117	Aug, 24 1904	41	Aug. 24 1904	52	Aug. 24 1904
NY_01334334.jpg	104	July 11, 1985	105	11 julio 1985	107	11 July 1985			41	11 julio, 1985	52	11 julio, 1985
NY_01334374.jpg	104	Jan. 12, 1962	105	12 January 1962	107	12 January 1962	108	12 JANUARY 1962	41	12 January 1962	52	12 January 1962
NY_01334391.jpg	104	May 20, 1955	105	may 20 1955	106	May 20 1955	108	MAY 20, 1955	41	May 20, 1955	52	May 20, 1955
NY_01334433.jpg	104	1860	107	1860	110	1860	115	1860	41	30 Jul 1996	52	1860
NY_01334438.jpg	105	23 Ene 1985	107	23 January 1985	110	30 July 1996	117	23 Ene, 1985	41	23 Ene, 1985	52	23 Ene, 1985
NY_01334464.jpg	103	February 1896	107	February 1896	110	Feb 1896	117	Feb. , 1896	41	Feb., 1896	52	Feb. , 1896
NY_01334493.jpg	104	Jan. 20, 1975	105	20 enero 1975	107	20 January 1975	110	20 Enero 1975	41	20 enero 1975	52	20 enero 1975
NY_01334508.jpg	102	April 20, 1964	104	April 30, 1964	105	April 30, 1964	107	April 30, 1964	41	April 30, 1964	52	April 30, 1964
NY_01497987.jpg	104	Oct. 1934	105	oct 1934	106	Oct 1934	107	October 1934	41	Oct., 1934	52	Oct.,. 1934
NY_01498039.jpg	104	May 7, 1938	107	7 May 1938	108	7TH MAY 1938	110	7th May 1938	41	7th. May. 1938.	52	7th. May. 1938
NY_01498043.jpg	104	Aug. 31-Sept. 20, 1905	105	aug 31- sept 20, 1905	106	Aug 31-Sept 20 1905	107	August 31- September 20, 1905	41	Aug. 31-Sept. 20, 1905	52	Aug. 31-Sept.20, 1905
NY_01498065.jpg	104	Dec. 8, 1976	105	8 December 1976	107	December 8. 1976	110	8 December 1976	41	December 8, 1976	52	December 8, 1976
NY_01498090.jpg	102	June 7, 1979	104	June 7, 1979	105	june 7 1979	107	June 7, 1979	41	June 7, 1979	52	June 7, 1979
NY_01498103.jpg	103	8 March 1916	104	March 8, 1916	105	march 8 1916	107	March 8, 1916	41	March 8, 1916	52	March 8, 1916
NY_01498113.jpg	104	1860-1864	105	27 March 1885	107	27 March 1885	117	27.III.1885	41	1860-1864	52	1860-1864
NY_01498139.jpg	104		105	1899	107	1899	110		41		52	1899
NY_01498155.jpg	102	12/68	104	Marach 1890	105	March, 1890	107	March 1890	41	March, 1890	52	March, 1890
NY_01498166.jpg	103	24 June 1991	104	June 24, 1991	105	24 June 1991	107	24 June 1991	41	24 June 1991	52	24 June 1991
NY_01498191.jpg	104	June 6, 1977	105	June 6, 1977	107	June 6, 1977	110	June 6 1977	41	June 6, 1977	52	June 6, 1977

