filename	dwc:catalogNumber	dwc:recordedBy	dwc:recordNumber	dwc:verbatimEventDate	aocr:verbatimScientificName	aocr:verbatimInstitution	dwc:datasetName	dwc:verbatimLocality	dwc:country	dwc:stateProvince	dwc:county	dwc:verbatimLatitude	dwc:verbatimLongitude	dwc:eventDate	dwc:scientificName	dwc:decimalLatitude	dwc:decimalLongitude	dwc:fieldNotes	dwc:sex	dwc:identifiedBy	aocr:verbatimDateIdentified	dwc:dateIdentified	dwc:verbatimElevation	dwc:habitat	dwc:municipality	dwc:occurrenceRemarks	dwc:substrate	dwc:verbatimCoordinates	dwc:family
EMEC609488_Cerceris_compacta.jpg	EMEC 609,488	P. D. Hurd		1951-07-11	Cerceris compacta Cr.	U.C. Berkeley		10 km.W.of Zitacuaro, Mich.,Mex.	Mexico					1951-07-11					female	H. A. Scullen		1958							
EMEC609504_Cerceris_compacta.jpg	EMEC 609,504	P. D. Hurd		'11 July 1951	Cerceris compacta Cr.	U.C. Berkeley		Tuxpan,Mich- oacan,Mex.											female	H. A. Scullen		1960							
EMEC609515_Cerceris_compacta.jpg	EMEC 609,515			7-17-32	Cerceris compacta compacta Cr.	U.C. Berkeley		Phoenix Ariz.											female	H.A.Scullen		62							
EMEC609523_Cerceris_compacta.jpg	EMEC 609,523	J. W. MacSwain		VII-4-54	Cerceris compacta compacta Cr.	U.C. Berkeley		Moctezuma Chih.,MEX						1954-07-04					male	H.A.Scullen		1962							
EMEC609529_Cerceris_compacta.jpg	EMEC 609,529	Snelling		VI-28-53	Cerceris compacta compacta Cr.	U.C. Berkeley		1 Mi.E.Calexico, Imperial Co., Calif.						1953-06-28					male	H.A.Scullen		1964		on Melilotus alba					
EMEC609543_Cerceris_compacta.jpg	EMEC 609,543	E. E. Gilbert C. D. MacNeil		VII-8-52	Cerceris aureofacialis	U.C. Berkeley		Oaxaca Oaxaca, Mex.		Oaxaca				1952-07-08					male	Cam H.A.Scullen		1961							
EMEC609600_Cerceris_compacta.jpg	EMEC 609,600	R.E.Coville		4-IX-1978		U.C. Berkeley		Ariz.:Cochise Co., Stateline Rd.,1 mi. NW Rodeo, N. Mex.			Cochise			1978-09-04									4100'						
EMEC609601_Cerceris_compacta.jpg	EMEC 609,601	J.R.Powers		June 25, 1975		U.C. Berkeley		2 mi W Horse Cave Hart Co., Kentucky		Kentucky	Hart			1975-06-25															
EMEC609612_Cerceris_compacta.jpg	EMEC 609,612	P. D. Hurd		VII-18-22-51		U.C. Berkeley		Ahuacatlan, Nay.,Mex.					1951-07-18/22											On fls. of Donnellsmithia Hintonii M&C					
EMEC609623_Cerceris_compacta.jpg	EMEC 609,623	P. D. Hurd		VII-18-22-51		U.C. Berkeley		Ahuacatlan Nay.,Mex.						1951-07-18/22										On fls. of Donnellsmithia Hintonii M&C					
