filename	id_v1	sec1	id_v2	sec2	id_v3	sec3
EMEC609488_Cerceris_compacta.txt	104	15	105	7	107	13
EMEC609504_Cerceris_compacta.txt	104	14	105	10	107	13
EMEC609515_Cerceris_compacta.txt	104	28	105	62	107	8
EMEC609523_Cerceris_compacta.txt	102	39	104	13	105	8
EMEC609529_Cerceris_compacta.txt	104	35	105	41	107	13
EMEC609543_Cerceris_compacta.txt	104	17	105	23	105	7
EMEC609600_Cerceris_compacta.txt	104	28	105	15	107	14
EMEC609601_Cerceris_compacta.txt	104	15	104	11	105	14
EMEC609612_Cerceris_compacta.txt	104	23	104	18	105	18
EMEC609623_Cerceris_compacta.txt	104	26	105	7	107	38
EMEC609639_Cerceris_compar_compar.txt	101	16	104	15	105	16
EMEC609675_Cerceris_conifrons.txt	104	25	105	9	107	13
EMEC609686_Cerceris_conifrons.txt	103	30	104	20	105	13
EMEC609696_Cerceris_conifrons.txt	104	28	105	8	105	7
EMEC609705_Cerceris_conifrons.txt	104	20	105	28	107	27
EMEC609711_Cerceris_convergens.txt	104	25	105	20	107	24
EMEC609719_Cerceris_convergens.txt	104	34	105	10	107	16
EMEC609722_Cerceris_convergens.txt	104	20	105	9	107	12
EMEC609740_Cerceris_convergens.txt	104	27	107	15	110	10
EMEC609764_Cerceris_convergens.txt	104	16	105	51	107	18
EMEC609785_Cerceris_convergens.txt	102	31	104	54	105	28
EMEC609803_Cerceris_convergens.txt	104	23	105	12	107	22
EMEC609826_Cerceris_convergens.txt	102	19	103	12	104	27
EMEC609828_Cerceris_convergens.txt	104	24	107	18	107	13
EMEC609879_Cerceris_convergens.txt	104	19	105	20	107	17
EMEC609880_Cerceris_convergens.txt	104	30	105	13	107	13
EMEC609882_Cerceris_convergens.txt	103	6	104	17	105	11
EMEC609885_Cerceris_convergens.txt	104	15	105	18	107	17
EMEC609900_Stigmus_sp.txt	101	32	104	23	105	11
EMEC609903_Stigmus_sp.txt	104	23	104	17	105	10
EMEC609926_Stigmus_sp.txt	104	15	105	29	106	8
EMEC609939_Stigmus_sp.txt	104	50	105	40	107	16
EMEC609987_Aphilanthops_foxi.txt	104	22	105	17	107	14
EMEC609997_Aphilanthops_foxi.txt	104	67	105	19	107	16
