filename	id_v1	sec1	id_v2	sec2	id_v3	sec3
EMEC609488_Cerceris_compacta.jpg	304	38	304	38	308	62
EMEC609504_Cerceris_compacta.jpg	301	9	311	17	313	19
EMEC609515_Cerceris_compacta.jpg	301	17	306	15	318	25
EMEC609523_Cerceris_compacta.jpg	301	23	314	24	318	29
EMEC609529_Cerceris_compacta.jpg	301	24	312	62	318	27
EMEC609543_Cerceris_compacta.jpg	301	17	306	21	307	18
EMEC609600_Cerceris_compacta.jpg	305	11	315	12	317	10
EMEC609601_Cerceris_compacta.jpg	306	6	310	6	318	23
EMEC609612_Cerceris_compacta.jpg	301	46	306	27	310	106
EMEC609623_Cerceris_compacta.jpg	301	8	306	6	307	14
EMEC609639_Cerceris_compar_compar.jpg	301	14	48	15	67	7
EMEC609675_Cerceris_conifrons.jpg	301	12	303	20	307	12
EMEC609686_Cerceris_conifrons.jpg	301	9	305	15	306	8
EMEC609696_Cerceris_conifrons.jpg	308	26	318	34	48	16
EMEC609705_Cerceris_conifrons.jpg	303	38	310	91	318	107
EMEC609711_Cerceris_convergens.jpg	301	11	309	13	318	31
EMEC609719_Cerceris_convergens.jpg	301	82	313	22	318	18
EMEC609722_Cerceris_convergens.jpg	318	20	48	10	67	7
EMEC609740_Cerceris_convergens.jpg	301	24	306	48	307	116
EMEC609764_Cerceris_convergens.jpg	301	18	302	21	306	16
EMEC609785_Cerceris_convergens.jpg	301	12	307	9	317	10
EMEC609803_Cerceris_convergens.jpg	301	17	306	23	48	16
EMEC609826_Cerceris_convergens.jpg	317	13	318	21	48	41
EMEC609828_Cerceris_convergens.jpg	301	52	303	41	304	10
EMEC609879_Cerceris_convergens.jpg	301	20	306	16	310	145
EMEC609880_Cerceris_convergens.jpg	301	10	305	28	306	9
EMEC609882_Cerceris_convergens.jpg	306	45	307	22	313	19
EMEC609885_Cerceris_convergens.jpg	305	19	308	24	309	19
EMEC609900_Stigmus_sp.jpg	301	8	307	136	311	21
EMEC609903_Stigmus_sp.jpg	301	7	307	6	310	7
EMEC609926_Stigmus_sp.jpg	301	4	306	11	307	3
EMEC609939_Stigmus_sp.jpg	311	49	314	29	316	35
EMEC609987_Aphilanthops_foxi.jpg	315	29	317	13	318	43
EMEC609997_Aphilanthops_foxi.jpg	301	11	304	57	304	57
