M.I. Cousens No. 	0	12	RECORDEDBY
R.K. Godfrey no. 79204 7 October 1981 MP 944 HERBARIUM OF FLORIDA STATE UNIVERSITY, TALLAHASSEE 	0	12	RECORDEDBY
T. M. Bustos Det TMB 	0	12	RECORDEDBY
No. Wakulla James Sheehan 020 	12	25	RECORDEDBY
Elizabeth Langston 	0	18	RECORDEDBY
R. L. Leonard Det JRB 	0	13	RECORDEDBY
Michael Aymond 	0	14	RECORDEDBY
Pat Davis 	0	9	RECORDEDBY
R.K. Godfrey no. 82433 2 July 1987	0	12	RECORDEDBY
R.K. Godfrey	0	12	RECORDEDBY
F. J. Butera Det.	0	12	RECORDEDBY
F. J. Butera Det.	0	12	RECORDEDBY
R.K. Godfrey no. 79502. 	0	12	RECORDEDBY
R.K. Godfrey	0	12	RECORDEDBY
W. Scott Stanley NO. 29	0	16	RECORDEDBY
R.K. Godfrey no. 82869 16 September 1988 	0	12	RECORDEDBY
June 28, 1982 Salbiah Ismail 	14	28	RECORDEDBY
R.K. Godfrey No. 79882 	0	12	RECORDEDBY
R.K. Godfrey no. 82219 MICHAEL I. COUSENS	0	12	RECORDEDBY
