filename	id_v1	value1	id_v2	value2	id_v3	value3
EMEC609488_Cerceris_compacta.jpg	304	Cerceris compacta Cr	304	Cerceris compacta Cr	308	Cerberus compact Cr.
EMEC609504_Cerceris_compacta.jpg	301	Cereris compacta	311	Cderceris compacta Cr.  	313	Cerceris compacta
EMEC609515_Cerceris_compacta.jpg	301	Cerceris compacta compacta	306	Cerceris compacta	318	Cerceri compacta compacta Cr.
EMEC609523_Cerceris_compacta.jpg	301	Cerceris compacta compacta	314	Cerceris compacta compacta Cr.	318	cerceris compacta compacta Cr.
EMEC609529_Cerceris_compacta.jpg	301	Cerceris compacta	312	Cerceris compacta compacta	318	Cerceris compacta compacta Cr.
EMEC609543_Cerceris_compacta.jpg	301	Cerceris aueofacialis	306	Cerceris aureofacialis	307	Cerceris aureofacialis
EMEC609600_Cerceris_compacta.jpg	305		315		317	
EMEC609601_Cerceris_compacta.jpg	306		310		318	
EMEC609612_Cerceris_compacta.jpg	301	Donnetlsmithie Hintonii	306		310	
EMEC609623_Cerceris_compacta.jpg	301		306		307	
EMEC609639_Cerceris_compar_compar.jpg	301	Cerceris compar	48	Cerceris compar 	67	Cerceris compar Cr. 
EMEC609675_Cerceris_conifrons.jpg	301	Cerceris conifrons	303	Cerceris conifrons	307	Cerceris conifrons
EMEC609686_Cerceris_conifrons.jpg	301		305	Cochise Co.	306	
EMEC609696_Cerceris_conifrons.jpg	308	Cerceris conifrons Mick	318	Cercenis conifrons Mick.	48	Cerceris conifrons
EMEC609705_Cerceris_conifrons.jpg	303	Cerceris conifrons	310	Cerceris conifrons Mickel	318	Cerceris conifrons
EMEC609711_Cerceris_convergens.jpg	301	Cereris chilopsidis	309	Cerceris chiopsidis	318	Cerceris chilopsidis
EMEC609719_Cerceris_convergens.jpg	301	Cereris convergens	313	Cerceris convergens	318	cerceris convergens
EMEC609722_Cerceris_convergens.jpg	318	cerceris convergens	48	Cerceris convergens	67	Cerceris convergens
EMEC609740_Cerceris_convergens.jpg	301		306	Cerceris convergens	307	Cerceris convergens Viereck & Ckll.
